instancia,n,k,raio_otimo,raio_exato,tempo_exato_s,raio_aprox,tempo_aprox_s,gap_aprox_pct,exato_timeout
1,100,5,127,127,2.0369,186,0.0032,46.46,nao
2,100,10,98,98,0.5152,131,0.0009,33.67,nao
3,100,10,93,93,0.5262,154,0.0009,65.59,nao
4,100,20,74,74,0.4390,114,0.0024,54.05,nao
5,100,33,48,48,0.5164,71,0.0054,47.92,nao
6,200,5,84,84,1.7224,138,0.0011,64.29,nao
7,200,10,64,64,1.7273,96,0.0023,50.00,nao
8,200,20,55,55,0.8829,82,0.0119,49.09,nao
9,200,40,37,37,0.7091,57,0.0173,54.05,nao
10,200,67,20,20,0.6419,31,0.0453,55.00,nao
11,300,5,59,59,1.8545,73,0.0030,23.73,nao
12,300,10,51,51,1.8692,71,0.0048,39.22,nao
13,300,30,35,36,1.5169,59,0.0199,68.57,nao
14,300,60,26,26,1.0341,40,0.0612,53.85,nao
15,300,100,18,18,0.9542,25,0.2011,38.89,nao
16,400,5,47,47,3.4178,84,0.0036,78.72,nao
17,400,10,39,39,2.2744,56,0.0073,43.59,nao
18,400,40,28,28,1.5038,44,0.0415,57.14,nao
19,400,80,18,18,1.3013,28,0.1713,55.56,nao
20,400,133,13,13,1.3047,19,0.4023,46.15,nao
21,500,5,40,40,4.8766,53,0.0031,32.50,nao
22,500,10,38,38,5.1090,56,0.0066,47.37,nao
23,500,50,22,22,2.0912,34,0.0972,54.55,nao
24,500,100,15,15,2.0925,23,0.3475,53.33,nao
25,500,167,11,11,2.1347,15,0.8555,36.36,nao
26,600,5,38,38,9.4372,50,0.0030,31.58,nao
27,600,10,32,32,6.0707,43,0.0072,34.38,nao
28,600,60,18,18,3.2919,28,0.1785,55.56,nao
29,600,120,13,13,2.7668,19,0.6312,46.15,nao
30,600,200,9,9,2.7188,14,1.5076,55.56,nao
31,700,5,30,30,7.0471,42,0.0036,40.00,nao
32,700,10,29,29,10.5168,45,0.0084,55.17,nao
33,700,70,15,15,3.8326,25,0.3341,66.67,nao
34,700,140,11,11,4.2285,17,1.0600,54.55,nao
35,800,5,30,30,12.9812,38,0.0071,26.67,nao
36,800,10,27,27,13.0184,41,0.0095,51.85,nao
37,800,80,15,15,5.4203,25,0.4892,66.67,nao
38,900,5,29,29,19.5114,39,0.0054,34.48,nao
39,900,10,23,23,13.3737,35,0.0123,52.17,nao
40,900,90,13,13,6.7651,21,0.6855,61.54,nao
